mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.21084275245666503,0.06775735255003482,1.1842608451843262,0.1327066543922048,24,1,"{'n_neighbors': 24, 'p': 1}",-353.41223496697955,-375.28639497161396,-353.97754924681345,-351.1124758594052,-366.0152037466203,-359.96077175828646,9.257488856286015,20,-345.7048439114356,-342.75873140021054,-344.67688237452444,-346.86814446826173,-342.7812602591584,-344.5579724827181,1.616188295805784
0.21697239875793456,0.036691416937725825,1.260239601135254,0.02555928753370928,24,2,"{'n_neighbors': 24, 'p': 2}",-380.3182906577067,-404.6940872050361,-382.959342410197,-379.43300502124373,-396.18978370027037,-388.7189017988908,10.009908051600398,49,-373.56423022701154,-369.4628824966445,-372.85701509182553,-374.7556811598401,-371.0887646524921,-372.34571472556274,1.8678753412600586
0.23697209358215332,0.03237308431491844,1.1814409255981446,0.12808782369071664,25,1,"{'n_neighbors': 25, 'p': 1}",-354.0174023867454,-376.6105711968486,-354.934201622248,-352.44675782155275,-366.4564866743917,-360.89308394035726,9.296392373947887,21,-347.30270733756265,-344.0148072187944,-345.78621748450263,-347.9664156190256,-344.2546665894213,-345.86496284986134,1.5814894050271233
0.2120110034942627,0.03311387344566652,1.2801781177520752,0.030465304756744922,25,2,"{'n_neighbors': 25, 'p': 2}",-380.9934237052486,-405.4954373768972,-383.67590730011585,-380.8452607184241,-397.5221738122828,-389.7064405825937,10.011819105930071,50,-374.9808116798471,-371.15260160482023,-373.69319042929146,-376.08680377730144,-372.20514686287004,-373.623710870826,1.790646895958413
0.25411238670349123,0.021332327214524164,1.1746597290039062,0.051609684710897746,26,1,"{'n_neighbors': 26, 'p': 1}",-355.49557052841726,-377.2560983217917,-356.26564756217124,-353.57360727337556,-366.3373429004368,-361.78565331723854,8.916567186461686,23,-348.868288644816,-345.3368896970183,-347.15220505987264,-349.2002413176882,-345.57786004911026,-347.2270969537011,1.6053213687334127
0.18450541496276857,0.028496543645509794,1.304917860031128,0.029115517035288255,26,2,"{'n_neighbors': 26, 'p': 2}",-381.54698626596434,-406.27834371629996,-383.88959354666196,-381.85166681522423,-398.32818433015416,-390.37895493486093,10.087724580624306,52,-376.3580306747509,-372.3406599773159,-374.93635496650967,-377.32801045487156,-373.30762991715426,-374.8541371981205,1.8492028958739868
0.1924910068511963,0.030059779508520162,1.225529432296753,0.07169399997957436,27,1,"{'n_neighbors': 27, 'p': 1}",-356.31941708827355,-377.9911044168952,-357.04756019054975,-354.3807132741084,-367.06279558817215,-362.56031811159977,8.883994036505213,24,-350.09679347085563,-346.6392748589962,-348.6355292491958,-350.53511448416145,-346.7899439326934,-348.5393311991805,1.6179408899678205
0.18709979057312012,0.02239249782849408,1.3807076930999755,0.09007802074409925,27,2,"{'n_neighbors': 27, 'p': 2}",-382.59242952835814,-406.8934160669765,-384.8002660830008,-382.286120767349,-399.14094674048323,-391.14263583723357,10.038222914017553,53,-377.2007033829113,-373.5732366879205,-376.57485940259244,-378.52264578465264,-374.44173656305054,-376.06263636422545,1.812933658051558
0.20963807106018068,0.043551461638566207,1.2031832218170166,0.07195911157201748,28,1,"{'n_neighbors': 28, 'p': 1}",-357.25299170763196,-379.24089660194977,-358.90929481873866,-355.08616950835955,-367.6127917563317,-363.62042887860235,8.893937221483524,25,-351.0816149176278,-347.8839815929848,-350.0093211782135,-351.99032604467544,-348.17102861943107,-349.8272544705865,1.6003025088162104
0.1950765609741211,0.01736092857873322,1.3509891510009766,0.020041926071118613,28,2,"{'n_neighbors': 28, 'p': 2}",-383.9923076286476,-407.17122250359995,-385.59914749213704,-384.0663218010263,-400.4521685151465,-392.2562335881115,9.688283297987224,54,-378.47522625979224,-374.9123452805125,-377.49815645509693,-379.7811995663221,-375.9485679939087,-377.3230991111265,1.7378935359925467
0.1837148666381836,0.02124943935829357,1.2721991062164306,0.1312910384383117,29,1,"{'n_neighbors': 29, 'p': 1}",-357.83111798289247,-379.98461040595447,-359.8628441283414,-355.48374555480075,-368.5198305829703,-364.33642973099194,8.978512876108084,26,-352.2061503792294,-349.5739115321109,-350.93367947276,-353.6446144287801,-349.6059564215922,-351.19286244689454,1.5648826682020553
0.1847062587738037,0.009167879869454793,1.374311351776123,0.0356432315160863,29,2,"{'n_neighbors': 29, 'p': 2}",-384.202373960743,-408.1433006124675,-386.3668478043713,-384.9503935749391,-400.63714788028926,-392.8600127665621,9.733865569574158,55,-379.686469705097,-376.18351348354673,-378.5517930594984,-380.58184486054864,-376.9391202811201,-378.3885482779622,1.642243511268192
0.19583415985107422,0.019486646983997002,1.350869083404541,0.1224613001161275,30,1,"{'n_neighbors': 30, 'p': 1}",-357.9093461553316,-380.6259722704978,-360.8478215527231,-356.6458671301661,-368.7348281189649,-364.95276704553675,8.892899296926979,27,-353.32418141614284,-350.5841198111295,-351.8881186876002,-354.6194735724079,-350.71531487167607,-352.22624167179134,1.5509237096236486
0.21401619911193848,0.014232035952315224,1.417393732070923,0.05646465097864368,30,2,"{'n_neighbors': 30, 'p': 2}",-384.54139342679485,-409.4738269030241,-387.20068752414056,-385.6529277713403,-401.89796060254923,-393.75335924556975,10.068589232230718,56,-380.4850149184554,-377.7160713768431,-379.84327771662515,-382.0616167468088,-378.16281984435045,-379.6537601206166,1.5812789485453644
